UID,PID,Notebook,Timestamp,interaction_used,Condition,group,highlevel,Data Type,UtteranceType,Utterance,All representations,Python Used,Didn't use interaction,Insight Description,Justification,Was Interaction Used,Was Recapped,Was Vis used,Was Interaction Used_content,Was Vis used_content,Python Used_content,Other representation_content,joined,output_types,combined_content
541,iurmer289,Happiness,58:51:00,FALSE,Static,none,ANALYSIS PROCESS,,plan of action,"for like creating clusters, I would use Kmeans And import them from SKLearn,",,,,,,,,,,,,,,,   
542,iurmer289,Happiness,1:03:35,FALSE,Static,Multi-view Chart,RELATIONSHIP,relationship (continuous X continuous),relationship existence / non-existence,"[while trying to determine what other columns to add to clustering] there's also confidential government. Yeah, I would use, I guess, the confidence in government, because it seems like logically more related to like countries, Gdp and everything.","correlation_heatmap_iurmer289happiness, happiness_pairplot_iurmer289happiness, correct_filtered_data_profile_iurmer289happiness,",,,,,,,"correlation_heatmap_iurmer289happiness, happiness_pairplot_iurmer289happiness, correct_filtered_data_profile_iurmer289happiness",,"correlation_matrix = df_filtered.corr()
 alx.heatmap(correlation_matrix) alx.pairplot(df_filtered) columns = df_filtered.columns # returns list of column names [""year"",""country""...]
 alx.profile(df_filtered,vars=columns)",,,"correlation_heatmap_iurmer289happiness, happiness_pairplot_iurmer289happiness, correct_filtered_data_profile_iurmer289happiness","visualization, visualization, visualization"," correlation_matrix = df_filtered.corr()
 alx.heatmap(correlation_matrix) alx.pairplot(df_filtered) columns = df_filtered.columns # returns list of column names [""year"",""country""...]
 alx.profile(df_filtered,vars=columns)  "
543,iurmer289,Space,1:29:09,FALSE,Interactive,dataframe,ANALYSIS PROCESS,,representation comment,just checking if everything is there,"titanic_df_head_iurmer289space,",titanic_df_head_iurmer289space,,,,,,,,,df.head(),,titanic_df_head_iurmer289space,dataframe,  df.head() 
544,iurmer289,Space,1:29:16,FALSE,Interactive,dataframe,DATASET,,variable metadata,"we seem to have extra column which is, I guess, was like a former index column","titanic_df_head_iurmer289space,",titanic_df_head_iurmer289space,,,,,,,,,df.head(),,titanic_df_head_iurmer289space,dataframe,  df.head() 
545,iurmer289,Space,1:29:35,FALSE,Interactive,info,DATASET,,data size,"there are like 5,000 values","titanic_df_info_iurmer289space,",titanic_df_info_iurmer289space,,,,,,,,,df.info(),,titanic_df_info_iurmer289space,info,  df.info() 
546,iurmer289,Space,1:29:44,FALSE,Interactive,info,DATASET,,missing data,"not many values are missing, which is good, like in other columns","titanic_df_info_iurmer289space,",titanic_df_info_iurmer289space,,,,,,,,,df.info(),,titanic_df_info_iurmer289space,info,  df.info() 
547,iurmer289,Space,1:30:18,FALSE,Interactive,dataframe,DATASET,,data orientation," So I guess this is the data for every everything and everyone who were found in the like, from the place of the incident.","titanic_df_head_iurmer289space, intro_text,",titanic_df_head_iurmer289space,,,,,,,,,df.head(),,"titanic_df_head_iurmer289space, intro_text",dataframe,  df.head() 
548,iurmer289,Space,1:30:34,FALSE,Interactive,dataframe,DATASET,,variable metadata,"we have their names, survival status, age, And were they like in a cryo asleep, from which planet they were, VIP or not.","titanic_df_head_iurmer289space,",titanic_df_head_iurmer289space,,,,,,,,,df.head(),,titanic_df_head_iurmer289space,dataframe,  df.head() 
549,iurmer289,Space,1:30:52,FALSE,Interactive,info,DATASET,,missing data,"So it seems like, mostly like missing columns are missing rows that are in home planet and cryosleep.","titanic_df_info_iurmer289space,",titanic_df_info_iurmer289space,,,,,,,,,df.info(),,titanic_df_info_iurmer289space,info,  df.info() 
550,iurmer289,Space,1:31:16,FALSE,Interactive,info,DATASET,,missing data,the names are missing. Maybe because they weren't identified.,"titanic_df_info_iurmer289space,",titanic_df_info_iurmer289space,,,,,,,,,df.info(),,titanic_df_info_iurmer289space,info,  df.info() 
551,iurmer289,Space,1:31:36,FALSE,Interactive,none,ANALYSIS PROCESS,,representation comment,"what I want to do like with the profiler. I want to have, like the same interactivity as in the tutorial, because, like. I thought it was really cool","interactive_tutorial, ",,,,,,,,,,,,interactive_tutorial,,   
552,iurmer289,Space,1:33:03,FALSE,Interactive,none,RELATIONSHIP,relationship (categorical X continuous),relationship strength and/or direction,"First just in general, I want to look at all of the people who survive and not. And we want to know, like, how many are like from different planets. And  how many actually like might be like, you know, the age of them.","interactive_tutorial, ",,,,,,,,,,,,interactive_tutorial,,   
553,iurmer289,Space,1:35:03,FALSE,Interactive,Multi-view Chart,ANALYSIS PROCESS,,representation comment,They're like the number of rows right? Aggregated.,"profile_and_barplot_count_iurmer289space,",,Didn't use interaction,Rep comment ,,profile_and_barplot_count_iurmer289space,,,"profile = alx.profile(df)
 

 barplot = alx.barplot(df, x='HomePlanet', y='count()',sort='-y',width=600) # sort descending by the height of the bars
 

 alx.highlight_brush() + alx.tooltip_hover() + (profile & barplot)",,,,profile_and_barplot_count_iurmer289space,visualization,"profile = alx.profile(df)
 

 barplot = alx.barplot(df, x='HomePlanet', y='count()',sort='-y',width=600) # sort descending by the height of the bars
 

 alx.highlight_brush() + alx.tooltip_hover() + (profile & barplot)"
554,iurmer289,Space,1:35:14,FALSE,Interactive,Multi-view Chart,VARIABLE,distribution (categorical),"distribution shape [shape, skew, kurtosis]","So yeah, most of them seem to be from Earth.","profile_and_barplot_count_iurmer289space,",,Didn't use interaction,,,profile_and_barplot_count_iurmer289space,,,"profile = alx.profile(df)
 

 barplot = alx.barplot(df, x='HomePlanet', y='count()',sort='-y',width=600) # sort descending by the height of the bars
 

 alx.highlight_brush() + alx.tooltip_hover() + (profile & barplot)",,,,profile_and_barplot_count_iurmer289space,visualization,"profile = alx.profile(df)
 

 barplot = alx.barplot(df, x='HomePlanet', y='count()',sort='-y',width=600) # sort descending by the height of the bars
 

 alx.highlight_brush() + alx.tooltip_hover() + (profile & barplot)"
555,iurmer289,Space,1:35:23,TRUE,Interactive,Multi-view Chart,ANALYSIS PROCESS,,representation comment,"if I actually click on Earth, I see that like the distribution for other columns and survive seems to be like we have more survived people more than not.","profile_and_barplot_count_iurmer289space,",,,,,profile_and_barplot_count_iurmer289space,,,"profile = alx.profile(df)
 

 barplot = alx.barplot(df, x='HomePlanet', y='count()',sort='-y',width=600) # sort descending by the height of the bars
 

 alx.highlight_brush() + alx.tooltip_hover() + (profile & barplot)",,,,profile_and_barplot_count_iurmer289space,visualization,"profile = alx.profile(df)
 

 barplot = alx.barplot(df, x='HomePlanet', y='count()',sort='-y',width=600) # sort descending by the height of the bars
 

 alx.highlight_brush() + alx.tooltip_hover() + (profile & barplot)"
556,iurmer289,Space,1:35:43,TRUE,Interactive,Multi-view Chart,VARIABLE,distribution (categorical),"distribution shape [shape, skew, kurtosis]","Many were not VIPs [referring to profiler filtered to ""Earth""]","profile_and_barplot_count_iurmer289space,",,,,,profile_and_barplot_count_iurmer289space,,,"profile = alx.profile(df)
 

 barplot = alx.barplot(df, x='HomePlanet', y='count()',sort='-y',width=600) # sort descending by the height of the bars
 

 alx.highlight_brush() + alx.tooltip_hover() + (profile & barplot)",,,,profile_and_barplot_count_iurmer289space,visualization,"profile = alx.profile(df)
 

 barplot = alx.barplot(df, x='HomePlanet', y='count()',sort='-y',width=600) # sort descending by the height of the bars
 

 alx.highlight_brush() + alx.tooltip_hover() + (profile & barplot)"
557,iurmer289,Space,1:35:49,TRUE,Interactive,Multi-view Chart,VARIABLE,distribution (categorical),"distribution shape [shape, skew, kurtosis]",most of them were not in the cryosleep,"profile_and_barplot_count_iurmer289space,",,,,,profile_and_barplot_count_iurmer289space,,,"profile = alx.profile(df)
 

 barplot = alx.barplot(df, x='HomePlanet', y='count()',sort='-y',width=600) # sort descending by the height of the bars
 

 alx.highlight_brush() + alx.tooltip_hover() + (profile & barplot)",,,,profile_and_barplot_count_iurmer289space,visualization,"profile = alx.profile(df)
 

 barplot = alx.barplot(df, x='HomePlanet', y='count()',sort='-y',width=600) # sort descending by the height of the bars
 

 alx.highlight_brush() + alx.tooltip_hover() + (profile & barplot)"
558,iurmer289,Space,1:36:11,TRUE,Interactive,Multi-view Chart,ANALYSIS PROCESS,,representation comment,"so I actually had my Earth people, you know, in the brush. But I wanted to copy like a query","profile_and_barplot_count_iurmer289space,",,,,,profile_and_barplot_count_iurmer289space,,,"profile = alx.profile(df)
 

 barplot = alx.barplot(df, x='HomePlanet', y='count()',sort='-y',width=600) # sort descending by the height of the bars
 

 alx.highlight_brush() + alx.tooltip_hover() + (profile & barplot)",,,,profile_and_barplot_count_iurmer289space,visualization,"profile = alx.profile(df)
 

 barplot = alx.barplot(df, x='HomePlanet', y='count()',sort='-y',width=600) # sort descending by the height of the bars
 

 alx.highlight_brush() + alx.tooltip_hover() + (profile & barplot)"
559,iurmer289,Space,1:36:59,TRUE,Interactive,Multi-view Chart,VARIABLE,distribution (categorical),"distribution shape [shape, skew, kurtosis]","it seems to be dominant, like people from Earth, next is Europa, which is, I'm guessing is Jupiter's moon","profile_and_barplot_count_iurmer289space,",,,,,profile_and_barplot_count_iurmer289space,,,"profile = alx.profile(df)
 

 barplot = alx.barplot(df, x='HomePlanet', y='count()',sort='-y',width=600) # sort descending by the height of the bars
 

 alx.highlight_brush() + alx.tooltip_hover() + (profile & barplot)",,,,profile_and_barplot_count_iurmer289space,visualization,"profile = alx.profile(df)
 

 barplot = alx.barplot(df, x='HomePlanet', y='count()',sort='-y',width=600) # sort descending by the height of the bars
 

 alx.highlight_brush() + alx.tooltip_hover() + (profile & barplot)"
560,iurmer289,Space,1:37:19,TRUE,Interactive,Multi-view Chart,VARIABLE,distribution (categorical),"distribution shape [shape, skew, kurtosis]",The same for them cause like here more people didn't survive. ,"profile_and_barplot_count_iurmer289space,",,,,,profile_and_barplot_count_iurmer289space,,,"profile = alx.profile(df)
 

 barplot = alx.barplot(df, x='HomePlanet', y='count()',sort='-y',width=600) # sort descending by the height of the bars
 

 alx.highlight_brush() + alx.tooltip_hover() + (profile & barplot)",,,,profile_and_barplot_count_iurmer289space,visualization,"profile = alx.profile(df)
 

 barplot = alx.barplot(df, x='HomePlanet', y='count()',sort='-y',width=600) # sort descending by the height of the bars
 

 alx.highlight_brush() + alx.tooltip_hover() + (profile & barplot)"
561,iurmer289,Space,1:37:29,TRUE,Interactive,Multi-view Chart,VARIABLE,distribution (categorical),"distribution shape [shape, skew, kurtosis]","it's interesting to see like that, like, at least visually, it's like, there were like approximately the same number of people like in cryosleep or not","profile_and_barplot_count_iurmer289space,",,,,,profile_and_barplot_count_iurmer289space,,,"profile = alx.profile(df)
 

 barplot = alx.barplot(df, x='HomePlanet', y='count()',sort='-y',width=600) # sort descending by the height of the bars
 

 alx.highlight_brush() + alx.tooltip_hover() + (profile & barplot)",,,,profile_and_barplot_count_iurmer289space,visualization,"profile = alx.profile(df)
 

 barplot = alx.barplot(df, x='HomePlanet', y='count()',sort='-y',width=600) # sort descending by the height of the bars
 

 alx.highlight_brush() + alx.tooltip_hover() + (profile & barplot)"
562,iurmer289,Space,1:37:41,FALSE,Interactive,dataframe,RELATIONSHIP,relationship (categorical X categorical),relationship existence / non-existence," And another thing that would be interesting is actually try to like, see how many vips survived,","query_earth_iurmer289space,",query_earth_iurmer289space,,,,,,,,,"df.query("" HomePlanet in ['Earth'] "")",,query_earth_iurmer289space,dataframe,"  df.query("" HomePlanet in ['Earth'] "") "
563,iurmer289,Space,1:39:07,FALSE,Interactive,none,ANALYSIS PROCESS,,representation comment,"Yeah, I think it was useful for like individual brands.","interactive_tutorial, ",,,,,,,,,,,,interactive_tutorial,,   
564,iurmer289,Space,1:39:47,FALSE,Interactive,dataframe,RELATIONSHIP,relationship (categorical X categorical),relationship existence / non-existence,"for my data, then as I said, like the vips and their count right. And for that. Let's just look how that is connected to the survival rate.","titanic_df_head_iurmer289space,",titanic_df_head_iurmer289space,,,,,,,,,df.head(),,titanic_df_head_iurmer289space,dataframe,  df.head() 
565,iurmer289,Space,1:40:06,FALSE,Interactive,none,ANALYSIS PROCESS,,representation comment,I think it could also be a bar plot,,,,,,,,,,,,,,,   
566,iurmer289,Space,1:41:36,FALSE,Interactive,none,ANALYSIS PROCESS,,representation comment,"I can also have color, so I can add another dimension for this, so maybe cryo sleep","interactive_tutorial, ",,,,,,,,,,,,interactive_tutorial,,   
567,iurmer289,Space,1:45:10,FALSE,Interactive,none,ANALYSIS PROCESS,,representation comment,"Oh, I keep thinking it's like a browser tab [when talking about the notebook tabs]","interactive_tutorial, ",,,,,,,,,,,,interactive_tutorial,,   
568,iurmer289,Space,1:45:17,FALSE,Interactive,dataframe,DATASET,,data orientation,"The data doesn't have like dates, right? So it would be like and hard to look into that like, you know how they found and like the idea was to see like day by day  how many survived and like where they were found.","titanic_df_head_iurmer289space,",titanic_df_head_iurmer289space,,,,,,,,,df.head(),,titanic_df_head_iurmer289space,dataframe,  df.head() 
569,iurmer289,Space,1:45:45,FALSE,Interactive,none,ANALYSIS PROCESS,,plan of action,"I'm not sure about this room service, footpath, shopping Mall, Spa things.",,,,,,,,,,,,,,,   
570,iurmer289,Space,1:46:00,FALSE,Interactive,data_dictionary,DATASET,,variable metadata,"Oh, this is interesting, too. So like how much they spent on room service, foot forward, shopping mall and spa.","data_dictionary, ",,,,,,,,,,,data_dictionary,data_dictionary,data_dictionary,   data_dictionary
571,iurmer289,Space,1:47:38,FALSE,Interactive,dataframe,RELATIONSHIP,relationship (continuous X continuous),relationship existence / non-existence,"let's see like if the person is like, you know, older or younger, like. obviously they should be like spending more","titanic_df_head_iurmer289space,",titanic_df_head_iurmer289space,,Hypothesis formed looking at the data,,,,,,,df.head(),,titanic_df_head_iurmer289space,dataframe,  df.head() 
572,iurmer289,Space,1:48:32,FALSE,Interactive,scatterplot,ANALYSIS PROCESS,,representation comment,"so yeah, it's kinda hard to see with this size [referring to size encoding not chart size]","highlight_brush_tooltip_scatterplot_iurmer289space,",,Didn't use interaction,,,highlight_brush_tooltip_scatterplot_iurmer289space,,,"scatter = alx.scatterplot(df, x='RoomService',y='Age', color='survived', size='count()',width=500)
 alx.highlight_brush() + alx.tooltip_hover() + (scatter)",,,,highlight_brush_tooltip_scatterplot_iurmer289space,visualization,"scatter = alx.scatterplot(df, x='RoomService',y='Age', color='survived', size='count()',width=500)
 alx.highlight_brush() + alx.tooltip_hover() + (scatter)"
573,iurmer289,Space,1:48:48,TRUE,Interactive,scatterplot,RELATIONSHIP,relationship (continuous X continuous),relationship strength and/or direction,I thought it would be like more like upward [that as someone gets older they spend more on room service].,"tooltip_scatterplot_without_size_iurmer289space,",,,,,tooltip_scatterplot_without_size_iurmer289space,,,"scatter = alx.scatterplot(df, x='RoomService',y='Age', color='survived', width=500)
 alx.highlight_brush() + alx.tooltip_hover() + (scatter)",,,,tooltip_scatterplot_without_size_iurmer289space,visualization,"scatter = alx.scatterplot(df, x='RoomService',y='Age', color='survived', width=500)
 alx.highlight_brush() + alx.tooltip_hover() + (scatter)"
574,iurmer289,Space,1:48:57,FALSE,Interactive,scatterplot,RELATIONSHIP,relationship (categorical X continuous),relationship strength and/or direction,"you know, most of the people who survive. They actually like spend a lot on room service","tooltip_scatterplot_without_size_iurmer289space,",,Didn't use interaction,,,tooltip_scatterplot_without_size_iurmer289space,,,"scatter = alx.scatterplot(df, x='RoomService',y='Age', color='survived', width=500)
 alx.highlight_brush() + alx.tooltip_hover() + (scatter)",,,,tooltip_scatterplot_without_size_iurmer289space,visualization,"scatter = alx.scatterplot(df, x='RoomService',y='Age', color='survived', width=500)
 alx.highlight_brush() + alx.tooltip_hover() + (scatter)"
575,iurmer289,Space,1:50:01,TRUE,Interactive,scatterplot,RELATIONSHIP,relationship (continuous X continuous),relationship cluster(s)/subgroup/ unexpected,"Like now, there is no trending in age or room service, so we could look into this like area, which is very dense, but I don't think it would be showing us anything new. ","tooltip_scatterplot_without_size_iurmer289space,",,,,,tooltip_scatterplot_without_size_iurmer289space,,,"scatter = alx.scatterplot(df, x='RoomService',y='Age', color='survived', width=500)
 alx.highlight_brush() + alx.tooltip_hover() + (scatter)",,,,tooltip_scatterplot_without_size_iurmer289space,visualization,"scatter = alx.scatterplot(df, x='RoomService',y='Age', color='survived', width=500)
 alx.highlight_brush() + alx.tooltip_hover() + (scatter)"
576,iurmer289,Space,1:50:49,FALSE,Interactive,dataframe,ANALYSIS PROCESS,,plan of action,"we can even like, you know, sum up everything like how much the person spent everywhere versus their survival.","titanic_df_head_iurmer289space,",titanic_df_head_iurmer289space,,,,,,,,,df.head(),,titanic_df_head_iurmer289space,dataframe,  df.head() 
577,iurmer289,Space,1:51:05,FALSE,Interactive,data_dictionary,DATASET,,variable metadata,"there's something called VR deck, which is, yeah, I guess how much they spent on the VR services ","data_dictionary, ",,,,,,,,,,,data_dictionary,data_dictionary,data_dictionary,   data_dictionary
578,iurmer289,Space,1:52:43,FALSE,Interactive,dataframe,DATASET,,data provenance,The sum of our spending Seems to be more or less correct.,"compute_spending_v2_iurmer289space,",compute_spending_v2_iurmer289space,,,,,,,,,"df['spending'] = df['RoomService']+df['FoodCourt']+df['ShoppingMall']+df['Spa'] + df['VRDeck']
 df",,compute_spending_v2_iurmer289space,dataframe,"  df['spending'] = df['RoomService']+df['FoodCourt']+df['ShoppingMall']+df['Spa'] + df['VRDeck']
 df "
579,iurmer289,Space,1:53:25,FALSE,Interactive,Multi-view Chart,VARIABLE,distribution  (continuous),"distribution shape [shape, skew, kurtosis]","we have a lot of 0 values, we need to like, drop","highlight_brush_tooltip_barplot_spending_iurmer289space,",,Didn't use interaction,,,highlight_brush_tooltip_barplot_spending_iurmer289space,,,"# scatter = alx.scatterplot(df, x='RoomService',y='Age', color='survived', width=500)
 barplot = alx.barplot(df, x='spending', y='count()', color='survived', sort='-y',width=600)
 alx.highlight_brush() + alx.tooltip_hover() + (barplot)",,,,highlight_brush_tooltip_barplot_spending_iurmer289space,visualization,"# scatter = alx.scatterplot(df, x='RoomService',y='Age', color='survived', width=500)
 barplot = alx.barplot(df, x='spending', y='count()', color='survived', sort='-y',width=600)
 alx.highlight_brush() + alx.tooltip_hover() + (barplot)"
580,iurmer289,Space,1:54:55,FALSE,Interactive,Multi-view Chart,VARIABLE,distribution (categorical),"distribution shape [shape, skew, kurtosis]","survival rate, which is like for the whole population seems to be like, you know, more or less the same like.","profile_and_barplot_count_iurmer289space,",,Didn't use interaction,,,profile_and_barplot_count_iurmer289space,,,"profile = alx.profile(df)
 

 barplot = alx.barplot(df, x='HomePlanet', y='count()',sort='-y',width=600) # sort descending by the height of the bars
 

 alx.highlight_brush() + alx.tooltip_hover() + (profile & barplot)",,,,profile_and_barplot_count_iurmer289space,visualization,"profile = alx.profile(df)
 

 barplot = alx.barplot(df, x='HomePlanet', y='count()',sort='-y',width=600) # sort descending by the height of the bars
 

 alx.highlight_brush() + alx.tooltip_hover() + (profile & barplot)"
581,iurmer289,Space,1:55:00,FALSE,Interactive,Multi-view Chart,RELATIONSHIP,relationship (categorical X continuous),relationship strength and/or direction, We can see that like people who spend more they had a higher chance of survival.,"highlight_brush_tooltip_barplot_spending_iurmer289space,",,Didn't use interaction,,,highlight_brush_tooltip_barplot_spending_iurmer289space,,,"# scatter = alx.scatterplot(df, x='RoomService',y='Age', color='survived', width=500)
 barplot = alx.barplot(df, x='spending', y='count()', color='survived', sort='-y',width=600)
 alx.highlight_brush() + alx.tooltip_hover() + (barplot)",,,,highlight_brush_tooltip_barplot_spending_iurmer289space,visualization,"# scatter = alx.scatterplot(df, x='RoomService',y='Age', color='survived', width=500)
 barplot = alx.barplot(df, x='spending', y='count()', color='survived', sort='-y',width=600)
 alx.highlight_brush() + alx.tooltip_hover() + (barplot)"
582,s294hoei,Happiness,25:06:00,FALSE,Static,data_dictionary,ANALYSIS PROCESS,,representation comment,"good that we have a dictionary, because I love starting data analysis by just reading a bunch of stuff.","data_dictionary, ",,,,,,,,,,,data_dictionary,data_dictionary,data_dictionary,   data_dictionary
583,s294hoei,Happiness,25:19:00,FALSE,Static,data_dictionary,DATASET,,variable metadata,"seems like we have some some measures about just general happiness, but also data on feelings about the government.","data_dictionary, ",,,,,,,,,,,data_dictionary,data_dictionary,data_dictionary,   data_dictionary
584,s294hoei,Happiness,26:05:00,FALSE,Static,dataframe,ANALYSIS PROCESS,,representation comment,"So started by just  by doing Df head, which is which shows me what the data is like.","happiness_head_repeated_s294hoeihappiness,",happiness_head_repeated_s294hoeihappiness,,,,,,,,,df.head(),,happiness_head_repeated_s294hoeihappiness,dataframe,  df.head() 
585,s294hoei,Happiness,26:11:00,FALSE,Static,dataframe,ANALYSIS PROCESS,,representation comment,Gives me some quick insight into some of the types of values that we're dealing with.,"happiness_head_repeated_s294hoeihappiness,",happiness_head_repeated_s294hoeihappiness,,,,,,,,,df.head(),,happiness_head_repeated_s294hoeihappiness,dataframe,  df.head() 
586,s294hoei,Happiness,26:28:00,FALSE,Static,dataframe,ANALYSIS PROCESS,,plan of action,I would love to maybe make a line chart of life expectancy in a particular country.,"happiness_head_repeated_s294hoeihappiness,",happiness_head_repeated_s294hoeihappiness,,"Plan of action, prompted looking at data table.",,,,,,,df.head(),,happiness_head_repeated_s294hoeihappiness,dataframe,  df.head() 
587,s294hoei,Happiness,29:15:00,FALSE,Static,lineplot,ANALYSIS PROCESS,,representation comment,I'm just always drawn to starting my charts from Zeros. There's some research that suggests static charts from a non-zero base can be misleading.,"pakistan_life_expectancy_lineplot_s294hoeihappiness,",,,,,,,pakistan_life_expectancy_lineplot_s294hoeihappiness,,"alx.lineplot(df[df.country=='Pakistan'],x='year',y='lifeExpectancy')",,,pakistan_life_expectancy_lineplot_s294hoeihappiness,visualization," alx.lineplot(df[df.country=='Pakistan'],x='year',y='lifeExpectancy')  "
588,s294hoei,Happiness,29:37:00,FALSE,Static,lineplot,ANALYSIS PROCESS,,representation comment,I'm particularly attuned to just seeing numbers on the 0 to 100 range vertically.,"pakistan_life_expectancy_lineplot_s294hoeihappiness,",,,,,,,pakistan_life_expectancy_lineplot_s294hoeihappiness,,"alx.lineplot(df[df.country=='Pakistan'],x='year',y='lifeExpectancy')",,,pakistan_life_expectancy_lineplot_s294hoeihappiness,visualization," alx.lineplot(df[df.country=='Pakistan'],x='year',y='lifeExpectancy')  "
589,s294hoei,Happiness,30:24:00,FALSE,Static,lineplot,ANALYSIS PROCESS,,representation comment,"Some people do is they'll still start with 0, and they'll have like that little electricity sign saying that we're consciously trimming the y-axis.","pakistan_life_expectancy_lineplot_s294hoeihappiness,",,,,,,,pakistan_life_expectancy_lineplot_s294hoeihappiness,,"alx.lineplot(df[df.country=='Pakistan'],x='year',y='lifeExpectancy')",,,pakistan_life_expectancy_lineplot_s294hoeihappiness,visualization," alx.lineplot(df[df.country=='Pakistan'],x='year',y='lifeExpectancy')  "
590,s294hoei,Happiness,30:34:00,FALSE,Static,lineplot,ANALYSIS PROCESS,,plan of action,I'm gonna try and maybe compare 2 countries top to bottom.,"pakistan_life_expectancy_lineplot_s294hoeihappiness,",,,,,,,pakistan_life_expectancy_lineplot_s294hoeihappiness,,"alx.lineplot(df[df.country=='Pakistan'],x='year',y='lifeExpectancy')",,,pakistan_life_expectancy_lineplot_s294hoeihappiness,visualization," alx.lineplot(df[df.country=='Pakistan'],x='year',y='lifeExpectancy')  "
591,s294hoei,Happiness,32:20:00,FALSE,Static,lineplot,ANALYSIS PROCESS,,representation comment,"Yeah, sometimes, when I'm analyzing the data, I like to just not look at the code, and just look at the visualization as the as my only source of truth. We'll sometimes appreciate just having all the information in the chart, and then look at the chart and see what's happening.","pakistan_india_combined_lineplot_simplified_repeated_s294hoeihappiness,",,,Wants the ability to add titles or subtitles,,,,pakistan_india_combined_lineplot_simplified_repeated_s294hoeihappiness,,"alx.lineplot(df[df.country=='Pakistan'],x='year',y='lifeExpectancy',color='green') & alx.lineplot(df[df.country=='India'],x='year',y='lifeExpectancy',color='blue')",,,pakistan_india_combined_lineplot_simplified_repeated_s294hoeihappiness,visualization," alx.lineplot(df[df.country=='Pakistan'],x='year',y='lifeExpectancy',color='green') & alx.lineplot(df[df.country=='India'],x='year',y='lifeExpectancy',color='blue')  "
592,s294hoei,Happiness,32:48:00,FALSE,Static,lineplot,RELATIONSHIP,"relationship (multivariate)
",relationship strength and/or direction,I'm sure that's Pakistan [ hovering over bottom line in the plot of life expect and year],"pakistan_india_combined_lineplot_simplified_repeated_s294hoeihappiness,",,,,,,,pakistan_india_combined_lineplot_simplified_repeated_s294hoeihappiness,,"alx.lineplot(df[df.country=='Pakistan'],x='year',y='lifeExpectancy',color='green') & alx.lineplot(df[df.country=='India'],x='year',y='lifeExpectancy',color='blue')",,,pakistan_india_combined_lineplot_simplified_repeated_s294hoeihappiness,visualization," alx.lineplot(df[df.country=='Pakistan'],x='year',y='lifeExpectancy',color='green') & alx.lineplot(df[df.country=='India'],x='year',y='lifeExpectancy',color='blue')  "
593,s294hoei,Happiness,33:46:00,FALSE,Static,lineplot,ANALYSIS PROCESS,,representation comment,I love that. I really like that [ the ability to add together countries into your line plot very quickly],"multi_country_life_expectancy_lineplot_s294hoeihappiness,",,,,,,,multi_country_life_expectancy_lineplot_s294hoeihappiness,,"alx.lineplot(df[df.country=='Pakistan'],x='year',y='lifeExpectancy',color='country') + alx.lineplot(df[df.country=='India'],x='year',y='lifeExpectancy',color='country') + alx.lineplot(df[df.country=='Sri Lanka'],x='year',y='lifeExpectancy',color='country') + alx.lineplot(df[df.country=='Pakistan'],x='year',y='lifeExpectancy',color='country') + alx.lineplot(df[df.country=='India'],x='year',y='lifeExpectancy',color='country') + alx.lineplot(df[df.country=='Sweden'],x='year',y='lifeExpectancy',color='country')",,,multi_country_life_expectancy_lineplot_s294hoeihappiness,visualization," alx.lineplot(df[df.country=='Pakistan'],x='year',y='lifeExpectancy',color='country') + alx.lineplot(df[df.country=='India'],x='year',y='lifeExpectancy',color='country') + alx.lineplot(df[df.country=='Sri Lanka'],x='year',y='lifeExpectancy',color='country') + alx.lineplot(df[df.country=='Pakistan'],x='year',y='lifeExpectancy',color='country') + alx.lineplot(df[df.country=='India'],x='year',y='lifeExpectancy',color='country') + alx.lineplot(df[df.country=='Sweden'],x='year',y='lifeExpectancy',color='country')  "
594,s294hoei,Happiness,34:22:00,FALSE,Static,lineplot,VARIABLE,distribution (categorical),"distribution range [min, max]","guess you could do line plots, and then you by country, and they'd sort of give you something similar. But I guess then you run into that question of it'll give you all 198 countries on the hue.","multi_country_life_expectancy_lineplot_s294hoeihappiness,",,,,,,,multi_country_life_expectancy_lineplot_s294hoeihappiness,,"alx.lineplot(df[df.country=='Pakistan'],x='year',y='lifeExpectancy',color='country') + alx.lineplot(df[df.country=='India'],x='year',y='lifeExpectancy',color='country') + alx.lineplot(df[df.country=='Sri Lanka'],x='year',y='lifeExpectancy',color='country') + alx.lineplot(df[df.country=='Pakistan'],x='year',y='lifeExpectancy',color='country') + alx.lineplot(df[df.country=='India'],x='year',y='lifeExpectancy',color='country') + alx.lineplot(df[df.country=='Sweden'],x='year',y='lifeExpectancy',color='country')",,,multi_country_life_expectancy_lineplot_s294hoeihappiness,visualization," alx.lineplot(df[df.country=='Pakistan'],x='year',y='lifeExpectancy',color='country') + alx.lineplot(df[df.country=='India'],x='year',y='lifeExpectancy',color='country') + alx.lineplot(df[df.country=='Sri Lanka'],x='year',y='lifeExpectancy',color='country') + alx.lineplot(df[df.country=='Pakistan'],x='year',y='lifeExpectancy',color='country') + alx.lineplot(df[df.country=='India'],x='year',y='lifeExpectancy',color='country') + alx.lineplot(df[df.country=='Sweden'],x='year',y='lifeExpectancy',color='country')  "
